"","Data","Conv?","Perc.","Avg..d_1","Avg..d_2","Avg..P_11","Avg..P_22","Avg..Sigma","Avg..mu_1","Avg..mu_2"
"1","1930","C",0.037,0.892,NA,0.999,NA,0.056,0.781,NA
"2","1930","D",0.217,1.218,NA,0.999,NA,0.054,0.728,NA
"3","1930","C - C",0.037,0.923,-0.15,0.975,0.867,0.047,0.31,0.338
"4","1930","C - D",0.376,1.355,0.014,0.972,0.899,0.049,0.351,0.376
"5","1930","D - D",0.333,1.613,1.227,0.887,0.967,0.049,0.169,0.183
"6","1940","C",0.038,0.939,NA,0.999,NA,0.055,0.588,NA
"7","1940","D",0.31,1.252,NA,0.999,NA,0.047,0.534,NA
"8","1940","C - C",0.021,0.916,-0.912,0.977,0.881,0.043,0.484,0.303
"9","1940","C - D",0.367,1.387,-0.434,0.974,0.89,0.043,0.364,0.383
"10","1940","D - D",0.265,1.727,1.264,0.893,0.966,0.044,0.109,0.13
"11","1950","C",0.052,0.916,NA,0.999,NA,0.063,0.843,NA
"12","1950","D",0.581,1.272,NA,0.999,NA,0.056,0.691,NA
"13","1950","C - C",0.007,0.912,0.096,0.977,0.898,0.06,0.236,0.208
"14","1950","C - D",0.204,1.332,-0.014,0.977,0.912,0.056,0.393,0.519
"15","1950","D - D",0.155,1.528,1.225,0.912,0.955,0.052,0.137,0.376
"16","Europe","C",0.035,0.918,NA,0.999,NA,0.043,1.265,NA
"17","Europe","D",0.597,1.272,NA,0.999,NA,0.034,0.11,NA
"18","Europe","C - C",0,NA,NA,NA,NA,NA,NA,NA
"19","Europe","C - D",0.212,1.401,-0.237,0.98,0.923,0.029,0.012,-0.048
"20","Europe","D - D",0.156,1.556,1.238,0.917,0.952,0.03,-0.169,-0.182
"21","Europe+G7","C",0.037,0.918,NA,0.999,NA,0.038,0.927,NA
"22","Europe+G7","D",0.617,1.281,NA,0.999,NA,0.033,0.194,NA
"23","Europe+G7","C - C",0,NA,NA,NA,NA,NA,NA,NA
"24","Europe+G7","C - D",0.213,1.386,-0.356,0.98,0.916,0.028,0.249,0.18
"25","Europe+G7","D - D",0.133,1.614,1.248,0.91,0.952,0.031,0.122,0.18
"26","Europe+S&P","C",0.021,0.931,NA,0.999,NA,0.046,1.029,NA
"27","Europe+S&P","D",0.656,1.306,NA,0.999,NA,0.04,0.582,NA
"28","Europe+S&P","C - C",0,NA,NA,NA,NA,NA,NA,NA
"29","Europe+S&P","C - D",0.173,1.39,-0.169,0.981,0.906,0.035,0.285,0.239
"30","Europe+S&P","D - D",0.15,1.528,1.242,0.932,0.957,0.035,0.102,0.218
"31","G7+S&P","C",0.031,0.942,NA,0.999,NA,0.045,0.873,NA
"32","G7+S&P","D",0.698,1.321,NA,0.999,NA,0.041,0.511,NA
"33","G7+S&P","C - C",0,NA,NA,NA,NA,NA,NA,NA
"34","G7+S&P","C - D",0.135,1.339,-0.228,0.983,0.904,0.036,0.378,0.305
"35","G7+S&P","D - D",0.135,1.53,1.276,0.904,0.956,0.035,0.289,0.379
